run_name	job_id	state	exit_code	elapsed	run_dir	best_val_ce	final_val_ce	coverage_corr_mean	r2_coverage_from_z	r2_coverage_from_z_unit	corr_pc1_coverage	corr_pc2_coverage	corr_pc3_coverage	corr_pc4_coverage	corr_pc5_coverage	best_epoch	epochs_completed
covcond_film_advcov	16018042	COMPLETED	0:0	02:18:56	/work_beegfs/sunip956/projects/token_snp_runs/covcond_film_advcov	0.3920776657978771	0.39415089288772537	-0.03700689672768397	0.9568878890864246	0.9569138457567944	0.1187241317106131	-0.1577913009833408	0.0032446680192046704	-0.39604611540214596	-0.010126823499371636	59	60
advcov_cov_l100_c005	16018035	COMPLETED	0:0	02:27:07	/work_beegfs/sunip956/projects/token_snp_runs/advcov_cov_l100_c005	0.4005908214157866	0.4032150122223259	-0.312844527670723	0.9602503554241263	0.9389268916443155	0.29999110380865546	-0.19008639567270336	0.6568951223258493	-0.21259771252911214	0.28391035275113696	59	60
covcond_concat_smallcov	16018039	COMPLETED	0:0	02:17:05	/work_beegfs/sunip956/projects/token_snp_runs/covcond_concat_smallcov	0.3920528733851503	0.39447474517115916	0.3928650246810936	0.9700593706308157	0.9587530279047297	-0.4765798387359709	0.5296987663596381	0.06351522597065723	0.4300413126614636	0.10265447762450201	59	60
covcond_concat	16018037	COMPLETED	0:0	02:16:58	/work_beegfs/sunip956/projects/token_snp_runs/covcond_concat	0.39230121842455573	0.3940077485250308	0.5148171462817014	0.9702312703032712	0.9634527434124587	0.5371542424202156	-0.4507227493494817	0.17161980521091127	0.3493240017976956	0.34348324197798813	59	60
advcov_cov_l050_c005	16018034	COMPLETED	0:0	02:27:46	/work_beegfs/sunip956/projects/token_snp_runs/advcov_cov_l050_c005	0.40038210951304193	0.4023152070305387	0.0976712479366747	0.9721956129252642	0.9718921569166716	-0.09847283699912154	0.2500493729109806	-0.0007080568203890856	0.6162817703794231	0.2549716159102759	59	60
advcov_cov_l050_c001	16018032	COMPLETED	0:0	02:21:25	/work_beegfs/sunip956/projects/token_snp_runs/advcov_cov_l050_c001	0.3952602023198357	0.3961905201238891	-0.007028923366400709	0.9728609960037378	0.9727194249266093	0.3014964370219733	-0.028985706369270395	-0.00786861268775822	-0.15376519400018776	0.34387096424190045	58	60
advcov_cov_l100_c001	16018033	COMPLETED	0:0	02:27:38	/work_beegfs/sunip956/projects/token_snp_runs/advcov_cov_l100_c001	0.39552482941489586	0.3970573725171728	-0.4227695463134967	0.9740928984366798	0.9742184466894516	0.42755908778994367	0.058855337042046416	0.01152841089028078	0.1576054248465241	-0.7301710783534645	58	60
covcond_film_concat	16018040	COMPLETED	0:0	02:17:29	/work_beegfs/sunip956/projects/token_snp_runs/covcond_film_concat	0.3917334373818481	0.39397600373338604	0.21467920015336042	0.974806363750243	0.9653766374448539	-0.3580529936823339	-0.5628158587827753	0.015656309720176342	0.3184588824287176	0.027815809889559163	59	60
advcov_cov_l050_c001_adv3	16018036	COMPLETED	0:0	02:26:00	/work_beegfs/sunip956/projects/token_snp_runs/advcov_cov_l050_c001_adv3	0.3957565451007412	0.3960145006732296	-0.09553263020186686	0.9757926820263826	0.9769576247453224	0.030730642012666138	-0.09708051199957884	0.4200857516783622	-0.014254775553785938	-0.584494233288496	59	60
covcond_film	16018038	COMPLETED	0:0	02:17:13	/work_beegfs/sunip956/projects/token_snp_runs/covcond_film	0.39094892124890773	0.39443823708388515	0.02976833324124161	0.9783767091220237	0.9779394571394256	0.4829412335521555	-0.132666900002145	-0.040255274557311066	-0.38005842966893916	-0.17736791797675788	59	60
advcov_cov_l020_c001	16018031	COMPLETED	0:0	02:19:25	/work_beegfs/sunip956/projects/token_snp_runs/advcov_cov_l020_c001	0.39167195759531787	0.39646165536424527	0.31343815989223006	0.9879211677447239	0.9867426443274622	0.31108373237896314	0.6793905696149583	-0.3720836144279918	-0.43358425248362953	-0.10786275583410065	59	60
covcond_concat_advcov	16018041	COMPLETED	0:0	02:18:36	/work_beegfs/sunip956/projects/token_snp_runs/covcond_concat_advcov	0.3929716809868226	0.39582444935824773	-0.08126734657241995	0.9889580853163049	0.9859352899718644	0.22960371064139345	-0.6014433194232952	0.6838667989811936	0.07902164893575092	-0.08996451699260379	59	60
